Ejection Angle,Neutron Energy,Reaction Label,Intensities
0.0,0.8157725603770457,"Si29(a,n)S32",1.0
1.0,0.8157428941656102,"Si29(a,n)S32",0.9999658048120835
2.0,0.8156539106534314,"Si29(a,n)S32",0.9998632342789098
3.0,0.8155056551935063,"Si29(a,n)S32",0.9996923334825061
4.0,0.8152982033295498,"Si29(a,n)S32",0.9994531775272566
5.0,0.8150316607291458,"Si29(a,n)S32",0.9991458714914381
6.0,0.8147061630902787,"Si29(a,n)S32",0.998770550359415
7.0,0.8143218760213847,"Si29(a,n)S32",0.9983273789345444
8.0,0.8138789948950805,"Si29(a,n)S32",0.9978165517328546
9.0,0.8133777446757685,"Si29(a,n)S32",0.9972382928575674
10.0,0.8128183797213591,"Si29(a,n)S32",0.9965928558545603
11.0,0.8122011835593775,"Si29(a,n)S32",0.9958805235488698
12.0,0.8115264686377562,"Si29(a,n)S32",0.9951016078623478
13.0,0.8107945760506616,"Si29(a,n)S32",0.9942564496126101
14.0,0.810005875239719,"Si29(a,n)S32",0.9933454182934198
15.0,0.8091607636710461,"Si29(a,n)S32",0.9923689118366619
16.0,0.8082596664885329,"Si29(a,n)S32",0.991327356356087
17.0,0.8073030361438361,"Si29(a,n)S32",0.9902212058730081
18.0,0.8062913520035897,"Si29(a,n)S32",0.9890509420241567
19.0,0.8052251199343603,"Si29(a,n)S32",0.9878170737519105
20.0,0.8041048718659072,"Si29(a,n)S32",0.9865201369771228
21.0,0.8029311653333364,"Si29(a,n)S32",0.9851606942548075
22.0,0.8017045829987582,"Si29(a,n)S32",0.9837393344129239
23.0,0.8004257321530907,"Si29(a,n)S32",0.9822566721745506
24.0,0.7990952441986766,"Si29(a,n)S32",0.9807133477637258
25.0,0.7977137741133986,"Si29(a,n)S32",0.9791100264952638
26.0,0.7962819998970045,"Si29(a,n)S32",0.9774473983488604
27.0,0.794800622000378,"Si29(a,n)S32",0.9757261775278226
28.0,0.7932703627385044,"Si29(a,n)S32",0.973947102002769
29.0,0.7916919656879067,"Si29(a,n)S32",0.9721109330406569
30.0,0.7900661950693374,"Si29(a,n)S32",0.9702184547195183
31.0,0.7883938351165322,"Si29(a,n)S32",0.9682704734292888
32.0,0.7866756894318511,"Si29(a,n)S32",0.9662678173591375
33.0,0.784912580329634,"Si29(a,n)S32",0.9642113359717126
34.0,0.7831053481681167,"Si29(a,n)S32",0.9621018994647342
35.0,0.7812548506707738,"Si29(a,n)S32",0.9599403982203851
36.0,0.7793619622379411,"Si29(a,n)S32",0.9577277422429533
37.0,0.7774275732495962,"Si29(a,n)S32",0.955464860585197
38.0,0.7754525893601877,"Si29(a,n)S32",0.9531527007639324
39.0,0.7734379307863739,"Si29(a,n)S32",0.9507922281653192
40.0,0.7713845315885873,"Si29(a,n)S32",0.9483844254403797
41.0,0.7692933389472905,"Si29(a,n)S32",0.9459302918912551
42.0,0.7671653124348309,"Si29(a,n)S32",0.9434308428487495
43.0,0.7650014232837766,"Si29(a,n)S32",0.9408871090416999
44.0,0.7628026536526183,"Si29(a,n)S32",0.9383001359587294
45.0,0.7605699958897256,"Si29(a,n)S32",0.9356709832029575
46.0,0.7583044517964347,"Si29(a,n)S32",0.9330007238402449
47.0,0.7560070318901334,"Si29(a,n)S32",0.9302904437415579
48.0,0.7536787546682125,"Si29(a,n)S32",0.9275412409200476
49.0,0.751320645873732,"Si29(a,n)S32",0.9247542248634577
